LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
210,4318,136298,73,20,27,67.7,17.9,24.5,17.6,"£45,237"
210,4680,100849,67,9,27,62.7,7.4,21.6,12.3,"£44,624"
210,5200,100851,20,18,6,16.3,14.5,4.6,23.5,"£49,523"
210,5201,100852,21,16,5,19.6,11.3,4.8,21.4,"£48,876"
210,5203,100853,15,14,4,13.9,9.0,3.0,17.1,"£44,798"
210,5204,100854,13,12,2,11.7,8.1,1.9,13.5,"£42,285"
210,5205,100855,10,14,4,8.8,11.2,3.9,23.2,"£55,844"
210,5207,100816,20,23,6,18.3,17.6,5.2,18.0,"£37,100"
210,5209,131318,15,20,5,14.2,11.6,4.7,32.0,"£45,239"
210,5402,100857,71,10,14,70.6,10.0,12.2,10.6,"£44,724"
210,5403,138961,81,5,19,77.9,4.7,17.5,10.9,"£42,908"
210,5404,100859,59,12,17,55.6,11.4,16.7,11.2,"£49,720"
210,5405,138960,69,9,17,68.1,7.7,16.6,12.2,"£47,422"
210,6905,134222,105,68,8,102.5,61.5,8.0,13.1,"£45,251"
210,6906,134225,49,8,20,46.0,7.4,18.8,16.2,"£37,438"
210,6907,131747,6,7,0,6.0,7.0,0.0,SUPP,"£48,204"
210,6908,132711,78,16,28,72.9,15.4,24.0,11.0,"£40,194"
210,6909,135315,76,25,26,74.7,23.8,23.3,13.4,"£43,346"
210,6911,135401,124,20,56,123.8,20.0,53.5,8.7,NA
210,6912,135584,104,34,31,102.5,31.3,30.0,11.7,"£40,504"
210,6913,135816,63,9,18,60.0,8.4,16.9,13.1,"£45,124"
211,2000,137016,NA,NA,NA,NA,NA,NA,NA,NA
211,2001,140096,39,47,11,36.8,36.9,9.8,19.7,"£40,774"
211,2002,131936,23,25,9,22.4,21.3,7.9,20.2,"£41,481"
211,2003,133288,21,23,13,20.0,19.8,10.3,20.7,"£40,042"
211,2004,133574,32,20,10,29.9,17.5,7.9,17.7,"£40,305"
211,2005,134160,34,48,8,31.4,34.9,8.0,17.5,"£51,891"
211,2006,139423,21,35,12,20.8,31.1,10.7,20.4,"£40,635"
211,2008,138276,18,8,7,17.5,7.1,7.0,18.2,"£43,697"
211,2009,141039,NA,NA,NA,NA,NA,NA,NA,NA
211,2043,100890,37,46,16,36.4,36.0,14.6,17.2,"£40,190"
211,2056,100891,45,55,16,44.4,43.8,15.4,17.9,"£41,405"
211,2059,100892,28,31,6,26.3,24.8,6.0,15.7,"£43,381"
211,2091,100893,27,21,5,24.3,15.9,3.5,11.5,"£44,154"
211,2097,100894,36,45,18,34.4,32.5,16.8,16.1,"£43,678"
211,2099,100895,33,14,8,24.8,9.3,6.6,14.4,"£37,723"
211,2110,100896,19,23,10,18.4,15.1,8.7,18.9,"£44,709"
211,2118,100897,32,29,10,28.9,18.0,8.2,15.2,"£42,508"
211,2144,100898,22,24,7,20.5,17.6,6.4,17.9,"£43,823"
211,2145,140064,40,35,14,37.4,30.9,13.6,17.0,"£39,824"
211,2147,100900,31,36,13,29.6,27.8,12.0,15.7,"£42,761"
211,2159,100901,30,32,8,26.0,26.2,7.0,18.3,"£47,917"
211,2254,100902,25,25,8,23.8,22.4,7.8,15.2,"£47,576"
211,2270,100903,14,15,5,13.4,9.9,4.4,15.4,"£46,170"
211,2281,100904,20,23,7,17.2,15.5,7.0,19.4,"£44,355"
211,2341,100906,28,27,10,25.0,23.3,8.0,18.2,"£49,427"
211,2377,100907,19,14,6,18.2,10.9,5.2,14.9,"£40,876"
211,2378,100908,14,21,8,13.4,13.9,7.6,17.4,"£46,143"
211,2397,100911,33,28,12,28.8,22.1,10.8,15.3,"£42,611"
211,2402,100912,41,32,16,36.9,25.9,14.2,18.3,"£44,386"
211,2406,100913,26,21,8,23.8,17.6,7.1,15.8,"£42,470"
211,2432,100914,15,19,6,14.0,14.6,6.0,15.7,"£39,892"
211,2441,100915,16,19,18,14.0,15.4,11.7,24.4,"£49,034"
211,2446,100916,20,18,5,17.9,16.0,5.0,14.9,"£44,947"
211,2499,100917,28,29,9,26.0,22.7,6.7,17.8,"£43,702"
211,2533,100920,42,40,16,39.3,35.5,14.6,17.6,"£41,436"
211,2557,137682,18,9,6,14.9,9.0,4.7,23.6,"£49,005"
211,2568,100922,40,30,13,36.7,26.2,12.9,15.7,"£38,249"
211,2569,100923,29,21,9,28.4,16.9,5.4,13.7,"£43,532"
211,2623,100926,12,13,2,12.0,12.1,1.9,19.2,"£42,630"
211,2631,100927,28,24,7,25.6,21.5,6.1,16.8,"£41,523"
211,2658,100928,24,19,5,22.7,15.4,4.8,19.0,"£41,030"
211,2828,100930,28,26,9,25.6,21.6,7.8,17.1,"£43,923"
211,2857,100931,15,20,7,13.8,16.2,4.6,16.8,"£46,010"
211,2893,100932,17,19,6,14.9,17.1,6.0,21.1,"£44,867"
211,2908,100934,25,30,19,24.2,26.4,8.6,17.9,"£43,042"
211,2909,100935,16,23,5,13.8,15.6,4.4,14.4,"£53,692"
211,2910,100936,21,16,12,19.8,13.6,7.8,15.7,"£42,445"
211,2912,100937,22,32,12,20.4,24.0,11.2,22.3,"£41,397"
211,2916,100938,17,14,5,15.9,11.3,4.6,14.6,"£45,218"
211,2917,100939,32,39,7,29.1,34.9,5.9,16.1,"£40,048"
211,2918,100940,14,13,8,13.2,7.8,6.9,15.4,"£47,510"
211,2919,100941,29,20,9,28.0,15.6,7.3,15.6,"£45,776"
211,2920,100942,15,15,9,14.2,13.5,8.1,16.9,"£42,295"
211,2921,100943,14,16,6,12.4,10.2,6.0,16.4,"£43,751"
211,2922,130352,40,49,22,38.6,41.7,17.8,17.2,"£41,839"
211,2999,131737,30,25,6,28.0,18.0,4.8,15.3,"£41,337"
211,3332,100944,19,13,5,15.5,8.5,4.6,11.0,"£45,395"
211,3346,100945,11,12,3,9.6,9.2,1.6,21.0,"£49,060"
211,3350,100946,9,14,4,9.0,11.0,4.0,20.9,"£46,109"
211,3397,100949,11,12,7,10.2,9.3,6.8,22.5,"£44,904"
211,3411,100950,22,21,4,20.6,16.4,4.0,14.5,"£45,093"
211,3431,100951,10,17,4,9.4,14.1,4.0,21.9,"£45,085"
211,3462,100953,13,16,6,12.0,15.0,4.0,17.3,"£42,556"
211,3497,100954,16,24,7,14.8,20.4,5.4,24.6,"£41,195"
211,3540,100956,13,17,6,11.8,12.9,4.3,16.5,"£48,560"
211,3563,100958,14,16,7,12.9,12.7,6.1,16.6,"£41,646"
211,3574,100959,9,17,4,8.8,11.9,3.9,25.3,"£49,671"
211,3581,100960,13,15,7,13.0,13.1,5.8,17.0,"£43,006"
211,3592,100961,11,12,5,11.0,10.0,5.0,21.2,"£42,736"
211,3619,100962,12,9,8,10.6,6.7,4.9,20.3,"£48,789"
211,4000,138202,NA,NA,NA,NA,NA,NA,NA,NA
211,4001,141133,24,8,10,24.0,8.0,9.5,12.4,"£42,646"
211,4002,141095,NA,NA,NA,NA,NA,NA,NA,NA
211,4003,142879,NA,NA,NA,NA,NA,NA,NA,NA
211,4024,100965,68,34,26,67.6,31.4,25.6,12.7,"£47,286"
211,4105,100966,69,40,23,68.4,39.2,22.2,13.9,"£45,308"
211,4150,100967,113,72,43,108.1,61.9,38.2,14.1,"£45,464"
211,4242,100968,100,22,38,94.4,19.7,33.2,14.8,"£48,219"
211,4276,100969,85,9,23,85.0,9.0,22.5,11.7,"£40,841"
