LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
331,2122,103674,11,8,5,10.0,6.4,3.9,18.6,"£37,285"
331,2124,142700,21,16,5,19.0,12.5,3.6,23.6,"£38,971"
331,2125,103676,36,26,5,33.6,25.1,4.8,17.9,"£35,732"
331,2129,103679,20,23,6,19.0,19.7,5.0,22.7,"£35,904"
331,2130,103680,28,18,8,24.0,12.5,7.0,22.1,"£37,489"
331,2131,103681,29,33,5,25.9,30.2,4.9,19.1,"£36,201"
331,2132,103682,22,22,11,20.6,14.7,6.5,21.2,"£36,616"
331,2135,103685,33,19,8,30.8,15.4,6.8,21.3,"£35,009"
331,2136,103686,26,16,3,22.4,14.1,3.0,22.7,"£37,377"
331,2138,103688,33,34,11,28.7,26.6,8.3,22.8,"£37,312"
331,2140,103690,30,38,7,27.9,32.2,5.9,21.9,"£36,404"
331,2141,103691,32,31,10,31.9,21.7,6.7,20.5,"£36,775"
331,2142,103692,36,28,5,33.2,24.4,5.0,17.2,"£30,211"
331,2143,103693,27,25,5,25.7,22.0,4.4,22.2,"£35,526"
331,2145,103695,42,46,8,38.1,41.9,7.0,20.6,"£38,511"
331,2146,103696,34,25,9,32.2,21.8,8.6,23.5,"£37,245"
331,2147,103697,23,19,6,21.6,16.4,4.7,22.7,"£36,838"
331,2149,103672,33,26,4,27.6,23.6,3.9,21.6,"£33,370"
331,2150,103648,14,16,5,12.8,11.1,3.8,17.3,"£39,079"
331,2151,103698,14,12,6,13.0,9.2,3.3,16.1,"£34,862"
331,2152,103684,19,24,4,18.0,21.7,3.7,24.3,"£39,444"
331,2153,131442,22,27,5,19.0,24.1,3.2,20.5,"£36,605"
331,2154,131239,21,12,2,17.1,9.9,1.8,18.6,"£37,118"
331,2155,131241,19,20,3,17.1,17.0,1.9,19.1,"£37,634"
331,2156,133476,20,21,9,17.8,16.6,6.4,21.6,"£38,557"
331,2157,133475,11,9,6,10.1,6.9,4.9,18.6,"£37,174"
331,2158,133474,22,24,7,21.7,21.6,6.0,18.2,"£37,094"
331,3006,142244,22,19,8,19.3,15.5,7.8,22.8,"£33,562"
331,3008,103702,12,10,3,9.7,7.5,2.3,20.2,"£39,721"
331,3009,103703,8,7,2,6.9,5.5,1.6,25.6,"£40,929"
331,3010,133556,17,14,3,16.2,10.0,2.7,20.1,"£37,362"
331,3301,141298,11,6,3,10.2,4.6,1.9,20.1,"£33,424"
331,3302,103705,9,11,2,8.7,9.0,2.0,21.7,"£37,120"
331,3404,142205,23,17,4,20.3,12.3,3.2,20.7,"£38,607"
331,3405,103710,14,10,4,12.2,8.2,3.3,18.4,"£33,675"
331,3406,103711,11,11,5,10.3,7.6,2.7,21.4,"£38,914"
331,3408,103712,13,10,5,11.8,8.8,2.8,18.7,"£38,923"
331,3409,142212,26,17,4,21.7,13.9,3.0,18.9,"£36,115"
331,3411,142215,10,12,5,8.6,8.4,4.1,24.0,"£37,126"
331,3412,103715,12,12,2,10.1,7.6,1.8,19.8,"£36,618"
331,3414,142197,11,13,3,11.0,12.0,2.6,20.4,"£38,919"
331,3415,142217,9,11,3,9.0,9.1,2.4,22.3,"£33,659"
331,3418,103719,14,16,6,10.7,13.2,3.6,19.1,"£39,961"
331,3422,103720,21,18,3,18.9,14.9,2.8,20.1,"£36,637"
331,3423,142211,10,10,3,9.4,8.3,2.2,20.3,"£36,046"
331,3432,103723,20,16,5,18.2,14.3,3.9,23.7,"£36,312"
331,3433,103724,12,11,4,10.8,8.2,2.7,20.2,"£32,429"
331,3434,142195,16,15,5,15.6,12.9,4.6,20.1,"£36,918"
331,3435,103726,22,19,6,20.7,16.4,3.9,21.5,"£36,552"
331,3436,134019,13,8,4,12.1,7.8,3.3,20.4,"£38,974"
331,3437,134426,14,11,4,11.6,8.6,2.8,17.8,"£36,551"
331,3438,134745,28,20,7,26.7,16.4,6.1,16.4,"£33,528"
331,4000,142339,46,13,28,44.1,11.6,23.2,16.4,"£38,565"
331,4001,140366,45,22,28,42.0,17.9,24.0,15.2,"£38,796"
331,4002,140958,24,3,12,24.0,2.7,10.7,15.8,"£38,641"
331,4003,140961,34,4,22,30.8,3.6,16.0,11.8,"£38,277"
331,4004,141104,1,0,0,1.0,0.0,0.0,SUPP,SUPP
331,4005,103728,76,27,30,70.8,23.0,25.8,14.6,"£40,357"
331,4006,141939,17,5,6,14.9,4.7,4.8,16.2,"£35,462"
331,4007,141992,87,22,34,79.0,17.8,31.2,15.3,"£38,189"
331,4026,138023,114,14,40,105.0,11.6,34.8,15.4,"£37,370"
331,4027,137165,1,0,2,0.5,0.0,1.8,SUPP,SUPP
331,4028,139292,110,28,47,97.1,24.1,36.5,15.7,"£38,099"
331,4029,103732,68,28,29,62.7,23.0,27.5,15.4,"£38,334"
331,4030,142960,52,19,24,49.2,18.3,18.0,14.0,"£38,576"
331,4033,137209,100,33,32,93.7,27.4,30.0,9.1,"£37,364"
331,4034,140248,104,24,47,98.6,17.6,42.2,14.8,"£40,710"
331,4037,136963,100,12,44,88.5,10.8,38.8,17.2,"£39,071"
331,4043,137225,43,11,24,39.4,9.0,20.6,14.5,"£38,608"
331,4044,136840,71,21,27,66.1,20.0,24.3,13.2,"£36,422"
331,4701,103742,61,13,21,56.9,10.7,18.7,16.2,"£40,386"
331,4707,103743,77,21,26,72.3,17.0,23.8,17.2,"£39,345"
331,4800,137272,113,24,34,102.6,21.4,30.1,14.6,"£43,686"
331,6905,135335,52,4,19,50.0,3.6,17.5,13.1,"£35,677"
331,6906,136126,109,35,70,102.5,30.1,57.6,12.6,"£38,676"
332,2000,103771,13,16,2,11.8,12.2,1.9,19.0,"£39,458"
332,2001,139437,21,30,6,19.2,22.9,3.3,23.7,"£37,603"
332,2002,141979,16,28,4,14.7,15.6,3.5,19.7,"£36,665"
332,2003,142047,11,15,2,9.4,8.4,2.0,22.3,"£35,277"
332,2004,103772,38,37,5,34.8,24.6,3.7,15.7,"£35,918"
332,2005,103773,27,32,4,21.0,20.5,3.0,21.0,"£39,107"
332,2010,103774,23,35,7,21.2,21.9,5.0,20.4,"£34,931"
332,2012,103775,19,30,4,17.3,20.8,2.6,23.0,"£34,231"
332,2023,103776,11,23,2,9.5,13.1,1.9,23.0,"£38,331"
332,2024,103777,21,23,4,17.6,15.9,4.0,22.5,"£40,194"
332,2029,103778,20,25,5,19.0,21.7,3.8,20.1,"£38,297"
332,2035,103779,11,15,2,9.4,8.3,1.5,20.1,"£38,772"
332,2036,103780,21,18,2,19.6,10.9,1.9,18.5,"£38,095"
332,2043,103781,9,12,2,8.1,4.9,1.5,24.6,"£33,714"
332,2048,103783,21,19,3,17.8,12.4,3.0,15.3,"£37,652"
332,2052,103784,17,25,5,15.7,11.1,4.2,21.3,"£40,646"
332,2063,103786,17,21,5,14.8,8.9,3.5,20.8,"£39,303"
332,2067,103787,11,15,3,9.9,7.7,2.2,21.1,"£41,655"
332,2068,103788,18,26,4,16.4,15.9,3.0,20.1,"£38,737"
332,2072,103790,11,20,5,9.9,8.0,3.9,20.9,"£36,492"
332,2075,103791,42,55,16,37.3,26.2,12.8,22.7,"£35,489"
332,2077,103792,12,9,4,10.9,4.9,2.8,20.1,"£39,810"
332,2102,103793,31,50,24,27.0,39.5,18.1,22.8,"£36,789"
332,2104,143195,13,19,3,10.5,11.8,1.8,21.9,"£36,787"
332,2106,103796,23,27,3,21.6,14.5,2.3,17.9,"£32,471"
332,2107,103797,18,20,3,15.1,9.7,2.7,21.9,"£40,148"
332,2109,103799,19,19,3,15.3,9.5,1.7,18.4,"£36,111"
332,2111,103800,23,40,7,21.2,22.8,6.7,20.9,"£35,174"
332,2112,103801,11,21,7,10.0,11.4,5.8,20.3,"£39,992"
332,2116,103802,14,20,4,13.4,10.3,3.0,31.1,"£36,914"
332,2118,103803,11,19,2,8.7,10.5,1.8,24.4,"£39,389"
332,2120,103804,33,40,6,29.5,19.5,4.0,21.2,"£35,556"
332,2122,103805,12,22,3,10.6,10.3,2.6,19.6,"£38,305"
332,2123,103806,21,35,4,16.9,19.2,2.9,17.6,"£39,795"
332,2124,103807,25,36,3,20.1,16.1,2.8,21.0,"£37,592"
332,2125,103808,21,19,5,17.4,10.1,4.5,22.6,"£35,459"
332,2126,103809,25,37,5,19.8,21.7,2.6,20.8,"£38,849"
332,2130,103810,19,30,3,17.1,16.6,3.0,22.6,"£38,798"
332,2136,103813,23,35,3,19.7,23.1,2.6,20.6,"£39,996"
332,2137,103814,23,32,5,18.9,12.5,4.4,22.2,"£37,188"
332,2138,103815,24,34,4,20.2,14.9,3.7,21.2,"£38,424"
332,2139,142355,10,20,3,8.9,9.8,2.6,22.6,"£36,895"
332,2140,103817,24,31,25,19.0,18.7,16.8,19.1,"£38,580"
332,2141,103818,18,27,5,15.3,12.7,1.7,19.9,"£40,059"
332,2142,103819,15,21,5,13.5,15.2,4.0,21.5,"£38,813"
332,2143,103820,10,30,2,9.8,15.1,1.5,21.2,"£40,235"
332,2144,103821,29,57,8,26.5,32.1,5.9,24.9,"£37,835"
332,2145,103822,40,38,6,32.0,23.2,3.7,18.3,"£35,721"
332,2146,103823,30,63,9,28.2,42.4,6.4,17.1,"£38,064"
332,2147,103824,21,32,3,19.2,20.0,2.9,23.2,"£37,617"
332,2148,103825,18,20,6,15.6,15.0,3.7,19.2,"£40,252"
332,2149,103826,31,49,12,26.8,31.3,9.3,22.3,"£37,581"
332,2150,103827,22,22,4,17.1,9.7,3.3,20.7,"£37,842"
332,2151,103828,21,32,3,18.0,15.3,2.3,23.8,"£39,284"
332,2152,103829,10,9,2,9.4,5.1,1.9,18.7,"£38,658"
332,2153,103830,18,25,4,16.5,13.3,3.7,21.6,"£40,246"
332,2154,103831,26,36,8,25.5,23.1,7.7,24.9,"£36,168"
332,2155,103832,25,26,4,23.3,14.7,2.8,19.3,"£38,590"
332,2156,143196,NA,NA,NA,NA,NA,NA,NA,NA
332,2160,103834,20,28,5,18.6,13.4,3.6,24.1,"£40,592"
332,3007,103835,15,18,2,13.9,7.8,1.5,22.0,"£40,579"
332,3008,103836,17,26,4,14.9,16.2,3.0,19.3,"£38,173"
332,3009,103837,12,15,2,9.0,7.4,1.3,22.7,"£39,954"
332,3010,103838,38,25,5,34.7,18.2,3.2,16.0,"£37,047"
332,3050,103839,20,20,4,18.0,9.7,3.4,23.3,"£41,385"
332,3052,103840,14,21,5,12.5,8.8,3.7,17.3,"£37,489"
332,3053,103841,23,38,4,20.7,18.2,3.8,18.1,"£37,655"
332,3302,140147,11,20,1,10.8,12.5,1.0,21.2,"£40,235"
332,3303,141489,10,18,4,8.8,10.5,2.4,23.4,"£39,709"
332,3304,140144,10,9,2,9.0,6.9,1.1,23.0,"£37,651"
332,3306,103845,30,49,10,27.7,24.0,9.1,19.8,"£38,837"
332,3350,103846,12,13,4,10.0,7.1,2.6,20.8,"£36,873"
332,3352,103847,12,18,4,10.6,11.4,3.8,19.1,"£37,212"
332,3354,103848,10,19,3,8.5,9.3,2.4,26.1,"£40,650"
332,3355,141477,11,17,3,9.3,8.9,1.8,22.7,"£36,366"
332,3357,103850,13,17,2,10.3,7.7,1.5,20.7,"£39,331"
332,3358,103851,20,38,4,18.4,22.9,2.8,21.3,"£37,957"
332,4000,141325,48,16,15,45.6,12.0,13.4,15.5,"£42,078"
332,4018,103853,63,26,28,58.7,19.1,24.6,16.9,"£43,040"
332,4020,103854,62,36,34,55.4,26.9,20.3,18.2,"£42,882"
332,4023,103855,59,13,30,56.1,10.5,24.1,19.2,"£43,417"
332,4027,103857,15,3,9,14.0,2.0,6.9,5.7,"£36,289"
332,4030,103858,57,19,24,52.0,9.9,19.9,14.3,"£40,562"
332,4105,103859,43,12,23,38.5,8.4,16.6,15.5,"£41,038"
332,4106,137812,93,30,25,82.7,27.5,17.6,14.3,"£39,692"
332,4110,103861,55,18,22,51.8,13.2,18.6,14.0,"£40,378"
332,4117,103863,80,20,30,73.8,16.8,22.5,13.8,"£41,122"
332,4119,139872,77,14,32,73.9,11.5,27.8,16.3,"£40,273"
332,4121,141712,52,45,23,48.6,23.9,16.6,16.2,"£41,040"
332,4612,103867,42,12,18,39.4,7.9,14.7,16.6,"£44,206"
332,4800,140126,55,12,17,51.8,10.1,16.9,15.8,"£40,341"
332,5200,103869,20,27,8,18.4,17.8,5.7,24.1,"£37,441"
332,5400,103870,56,36,35,52.0,19.5,31.1,11.7,"£42,189"
332,5401,141570,70,30,20,66.1,17.0,15.1,16.0,"£39,870"
332,5402,137773,60,12,22,57.0,8.9,18.4,16.1,"£44,039"
332,5403,137705,80,38,27,74.6,35.8,24.9,16.1,"£37,891"
332,5404,136618,140,14,45,127.4,11.8,40.1,13.1,"£39,652"
332,5405,137390,49,6,12,47.6,6.0,11.7,13.8,"£39,619"
333,2004,139565,24,30,12,21.7,23.3,6.8,20.4,SUPP
333,2006,140856,10,11,6,9.5,9.8,2.9,22.1,"£34,800"
333,2015,103895,14,9,5,12.0,5.3,1.8,19.8,"£40,014"
333,2016,103896,10,22,3,9.4,15.4,2.0,19.7,"£38,100"
333,2041,103905,21,29,7,18.3,20.9,6.9,21.7,"£35,181"
333,2042,103906,12,6,13,11.5,5.3,9.5,23.6,"£38,696"
333,2045,137972,21,31,2,21.0,21.9,2.0,19.3,"£33,395"
333,2046,103908,10,22,3,8.8,9.8,1.9,24.0,"£38,418"
333,2047,103909,22,30,7,21.6,23.0,6.5,22.6,"£39,484"
333,2048,103910,11,14,4,10.8,8.8,3.9,22.6,"£36,553"
333,2051,103913,12,9,9,11.3,7.7,7.3,21.5,"£38,406"
333,2054,103914,19,23,6,16.0,14.6,4.3,21.0,"£35,467"
333,2056,103915,26,32,3,23.4,25.7,2.8,20.4,"£38,564"
333,2057,140136,12,15,7,10.1,10.1,5.6,20.4,"£36,520"
333,2060,103919,9,13,3,9.0,10.8,2.1,24.4,"£37,472"
333,2061,140140,12,16,4,10.9,9.4,3.7,22.5,"£41,887"
333,2062,140792,11,20,8,9.0,16.3,7.1,35.1,"£38,714"
333,2070,103922,12,12,6,10.5,5.5,3.2,20.2,"£39,732"
333,2072,103923,21,21,6,19.2,18.0,5.4,22.9,"£36,723"
333,2074,103924,11,10,6,10.0,7.1,4.1,22.5,"£37,577"
333,2075,103925,25,30,3,23.4,24.2,2.6,18.5,"£37,615"
333,2076,140793,24,20,7,21.3,13.6,6.2,19.7,"£34,342"
333,2078,103927,11,10,4,11.0,8.6,3.0,20.7,"£38,513"
333,2082,103928,16,22,7,14.9,16.1,5.8,24.0,"£37,668"
333,2101,103929,19,13,9,17.0,8.3,6.9,21.4,"£36,635"
333,2102,103930,18,19,4,14.8,13.8,2.8,19.9,"£37,707"
333,2104,103932,12,11,1,12.0,10.2,0.9,22.0,"£33,582"
333,2105,103933,27,22,4,25.5,18.6,3.4,18.0,"£36,923"
333,2108,103934,11,9,2,10.7,6.6,1.8,22.8,"£35,983"
333,2112,103936,14,15,4,10.2,11.8,2.5,20.3,"£37,007"
333,2113,103937,29,39,10,26.6,32.8,9.0,25.0,"£39,039"
333,2118,139742,14,18,4,14.0,13.8,4.0,15.4,"£38,001"
333,2122,138033,25,30,8,22.5,25.1,7.5,23.0,"£38,505"
333,2123,103941,19,40,11,16.8,29.9,5.7,24.6,SUPP
333,2124,141292,18,21,6,15.6,15.5,4.0,23.9,"£37,294"
333,2125,141293,16,47,6,13.9,25.9,3.9,23.2,"£40,280"
333,2127,103945,10,26,4,9.4,22.4,2.5,26.9,"£41,469"
333,2128,103946,24,27,9,20.4,18.8,5.5,21.8,"£38,924"
333,2133,103947,13,16,8,10.4,9.5,5.8,23.5,"£36,165"
333,2134,103948,24,16,10,22.6,13.7,7.6,21.3,"£36,093"
333,2135,103949,20,30,9,19.0,19.5,5.2,20.0,"£34,783"
333,2136,103950,20,28,12,18.2,17.1,9.4,24.8,"£36,330"
333,2138,103952,13,20,2,10.3,17.8,1.8,21.8,"£39,353"
333,2140,103953,16,16,6,14.0,13.2,4.6,23.3,"£35,496"
333,2141,103954,19,5,5,17.6,4.5,4.2,19.6,"£36,731"
333,2146,103955,29,36,7,28.1,26.9,6.5,21.0,"£36,035"
333,2148,103957,19,24,4,18.1,18.2,3.8,21.4,"£37,600"
333,2151,103960,21,20,7,19.4,15.7,4.1,23.2,"£35,190"
333,2154,103963,12,12,6,10.6,9.0,4.5,19.6,"£37,436"
333,2158,139768,10,14,3,9.6,10.7,2.4,23.2,"£36,600"
333,2161,139875,30,57,10,28.8,44.4,8.4,22.5,SUPP
333,2162,103968,18,20,7,17.6,17.2,6.5,25.5,"£36,930"
333,2163,103969,19,24,2,17.9,21.2,1.8,24.4,"£38,123"
333,2164,103970,21,34,5,19.8,26.2,4.2,21.2,"£33,933"
333,2166,103972,20,39,5,17.7,19.1,3.8,24.0,"£41,447"
333,2169,103974,28,27,12,24.6,21.7,9.7,23.9,"£37,004"
333,2171,103976,21,23,8,19.1,19.6,5.9,23.4,"£33,907"
333,2172,103977,20,23,4,19.2,16.5,3.8,22.9,"£38,371"
333,2173,103978,25,33,7,21.5,23.3,3.2,20.8,"£36,660"
333,2174,103979,23,26,4,22.0,20.1,3.7,20.2,"£33,731"
333,2175,103980,24,18,5,23.0,14.2,4.7,18.4,"£32,564"
333,2176,103981,25,28,8,22.9,23.4,7.0,20.6,"£35,034"
333,2177,103982,29,63,6,26.0,38.9,5.2,21.3,"£37,662"
333,2178,103983,22,31,6,20.4,21.5,3.7,21.6,"£36,474"
333,2179,103984,19,30,5,18.6,28.7,4.4,25.4,"£35,243"
333,2180,131184,38,52,14,36.2,41.5,10.2,24.4,"£37,578"
333,2181,131178,21,19,4,19.9,15.8,3.8,22.9,"£34,313"
333,2182,131223,13,15,2,11.8,12.7,2.0,18.7,"£38,236"
333,2183,131212,14,15,4,14.0,11.8,4.0,17.7,"£35,151"
333,2186,131591,23,30,6,23.0,20.8,4.9,20.3,"£38,333"
333,2187,131735,28,42,7,24.7,32.3,6.3,24.5,"£35,553"
333,2188,131943,20,32,7,19.2,24.9,6.2,22.4,"£33,521"
333,2189,132140,22,33,6,18.4,21.4,4.8,23.5,"£38,614"
333,3002,103986,22,22,6,19.8,15.4,4.5,20.4,"£42,439"
333,3003,103987,13,18,3,10.3,13.3,2.2,22.3,"£38,230"
333,3004,140921,10,16,2,9.8,11.6,2.0,23.0,"£36,988"
333,3005,103989,13,17,7,9.2,9.2,2.2,24.9,"£38,543"
333,3006,131673,20,28,8,19.2,20.8,6.7,22.2,"£35,930"
333,3007,133261,21,33,4,19.6,20.3,2.9,23.5,"£39,196"
333,3301,103990,17,19,4,15.7,17.0,4.0,23.7,"£36,821"
333,3303,103991,11,10,2,10.2,7.8,2.0,23.5,"£41,318"
333,3305,103993,11,9,2,9.9,7.0,1.8,24.2,"£36,236"
333,3307,103995,12,14,2,10.2,5.2,1.6,21.8,"£41,100"
333,3308,103996,10,7,3,9.6,5.3,2.5,22.9,"£36,600"
333,3400,103997,23,33,5,20.2,22.3,2.3,18.9,"£35,829"
333,3401,141922,12,18,4,12.0,14.6,3.9,19.8,"£42,409"
333,3402,141926,15,21,4,14.0,13.4,3.5,19.7,"£37,418"
333,3403,104000,14,17,3,12.8,14.3,2.1,18.4,"£35,434"
333,3404,141929,9,15,4,8.3,12.3,3.1,27.8,"£37,463"
333,3405,141924,11,12,2,10.6,8.0,2.0,21.7,"£37,094"
333,3406,135029,11,15,4,9.2,11.9,3.3,19.3,"£39,294"
333,3407,135032,42,42,13,40.4,36.1,11.8,18.0,"£35,020"
333,3408,135215,30,40,6,29.6,27.6,5.3,23.1,"£34,812"
333,3409,135288,24,34,9,23.1,28.2,8.3,21.3,"£34,321"
333,4000,137673,112,12,28,98.8,10.1,24.6,13.4,"£39,693"
333,4001,139328,90,19,21,86.3,17.5,17.6,16.8,"£38,668"
333,4002,139918,NA,NA,NA,NA,NA,NA,NA,NA
333,4003,141698,17,1,6,9.9,1.0,5.3,15.4,"£32,539"
333,4005,141813,33,3,13,33.0,3.0,13.0,12.7,"£35,290"
333,4024,136616,113,34,22,108.3,25.6,21.1,13.7,"£40,987"
333,4028,136091,112,43,41,100.7,31.4,34.3,15.4,"£40,177"
333,4110,137701,115,23,35,107.8,19.1,29.0,14.7,"£38,875"
333,4111,104012,86,21,27,81.0,16.1,22.6,15.3,"£39,306"
333,4129,139043,67,54,27,64.4,38.5,23.9,14.8,"£38,254"
333,4138,104018,97,33,24,94.1,31.2,22.2,15.6,"£38,691"
333,4500,104019,89,34,23,84.0,26.6,20.2,14.1,"£38,802"
333,4600,104020,64,17,25,61.6,15.0,22.5,14.5,"£37,529"
333,6905,134993,NA,NA,NA,NA,NA,NA,NA,NA
333,6906,135170,99,10,59,95.6,8.2,55.2,12.3,"£40,723"
333,6907,135234,102,17,31,95.2,13.0,26.7,13.5,"£36,136"
333,6908,135449,75,13,40,73.7,10.5,36.5,14.3,"£34,137"
333,6909,135599,74,15,30,72.2,13.4,26.9,14.1,"£37,926"
333,6910,135979,65,19,23,62.9,15.7,21.6,15.6,"£40,923"
334,2000,104039,13,18,5,11.2,8.4,3.1,23.9,"£36,281"
334,2001,104040,10,9,3,8.1,6.5,2.9,25.7,"£40,188"
334,2002,139007,10,10,2,8.9,7.2,1.4,26.7,"£38,392"
334,2003,143051,12,9,4,9.2,5.8,3.3,19.3,"£33,955"
334,2004,104041,15,9,6,12.7,6.5,4.4,20.6,"£34,065"
334,2005,104042,10,10,3,8.7,6.3,2.5,23.0,"£40,597"
334,2006,104043,15,13,4,12.4,8.5,3.0,22.3,"£38,418"
334,2008,104045,29,33,12,26.7,16.7,7.3,24.7,"£35,700"
334,2011,104046,15,9,2,12.7,5.4,1.4,17.2,"£38,094"
334,2013,104048,10,9,5,8.2,5.0,2.8,27.2,"£35,468"
334,2017,104049,21,8,8,17.2,5.3,5.7,20.9,"£32,776"
334,2019,104050,22,13,6,17.0,8.4,3.9,21.2,"£34,542"
334,2020,142979,13,17,5,10.5,10.3,4.0,20.0,"£36,901"
334,2024,104052,33,25,8,30.3,19.1,6.2,21.2,"£35,353"
334,2026,104053,9,13,2,8.1,7.3,1.6,24.3,"£39,616"
334,2028,104054,13,11,4,11.4,5.0,2.8,22.4,"£35,570"
334,2030,104056,15,11,3,9.8,5.5,2.9,23.2,"£36,220"
334,2031,104057,12,13,7,9.4,7.1,4.0,23.5,"£37,531"
334,2033,104058,16,19,4,13.4,8.5,3.6,16.9,"£36,295"
334,2050,138536,44,32,10,33.9,24.7,8.8,20.5,"£33,974"
334,2051,104060,19,16,7,16.8,8.2,4.8,20.8,"£33,489"
334,2057,138462,NA,NA,NA,NA,NA,NA,NA,NA
334,2058,104065,13,8,9,11.8,4.2,5.6,19.8,"£35,375"
334,2059,104066,33,21,13,27.5,11.4,5.4,17.3,"£34,769"
334,2060,104067,23,20,8,20.0,13.8,6.1,20.2,"£35,733"
334,2065,104070,27,17,8,24.7,15.6,7.2,19.1,"£36,025"
334,2066,104071,27,25,8,25.8,17.2,6.5,15.7,"£35,090"
334,2081,140733,18,16,6,16.0,12.1,3.5,19.2,"£29,938"
334,2082,104074,14,17,4,10.4,6.7,3.1,21.5,"£36,758"
334,2085,104075,24,28,10,19.5,14.3,6.0,22.8,"£36,736"
334,2087,104076,16,11,6,13.6,7.4,4.6,18.9,"£35,864"
334,2088,104077,28,36,11,24.9,24.6,7.5,17.8,"£37,175"
334,2089,104078,20,22,5,19.4,15.5,4.6,23.0,"£36,570"
334,2090,104079,24,23,6,20.4,11.7,4.4,24.8,"£36,413"
334,2091,104080,22,18,7,20.1,13.3,5.5,20.8,"£34,301"
334,2094,140923,26,34,16,24.3,25.8,11.0,18.1,"£33,468"
334,2096,104084,31,26,8,26.2,12.0,4.4,25.1,"£36,522"
334,2098,133720,27,32,7,19.0,19.0,3.7,23.0,"£37,632"
334,3010,104087,9,17,2,8.6,8.0,1.8,24.3,"£36,760"
334,3011,140462,24,18,5,19.3,9.0,3.8,22.8,"£38,477"
334,3012,139457,25,17,5,19.4,10.8,4.5,24.4,"£34,903"
334,3300,104089,13,14,3,9.6,7.2,2.8,23.7,"£37,895"
334,3302,104090,13,18,6,10.4,9.2,3.1,24.6,"£40,344"
334,3305,104092,16,9,5,13.5,3.3,2.5,20.3,"£37,693"
334,3310,104093,14,11,3,10.8,5.8,2.6,20.5,"£39,631"
334,3311,104094,15,5,4,9.6,2.0,3.4,22.1,"£38,311"
334,3312,104095,11,12,6,9.7,4.5,3.1,20.0,"£36,547"
334,3313,136320,14,14,2,10.3,7.7,2.0,21.1,"£35,246"
334,3314,104097,12,24,7,10.6,11.7,3.7,22.7,"£37,694"
334,3500,104098,24,23,8,21.6,9.0,4.7,20.5,"£36,322"
334,3501,104099,13,14,6,10.2,8.4,4.8,21.6,"£38,354"
334,3502,104100,11,11,3,9.7,6.0,0.9,23.3,"£38,233"
334,3503,104101,15,10,4,10.7,4.4,3.2,22.0,"£36,550"
334,3504,104102,18,31,4,16.2,12.8,2.8,20.4,"£31,877"
334,3510,104103,12,13,6,11.3,8.2,4.4,20.6,"£38,219"
334,3511,104104,29,24,7,25.3,17.7,6.0,17.7,"£36,012"
334,3512,104105,24,40,8,21.8,19.9,6.4,19.8,"£37,536"
334,3516,104107,14,13,4,13.2,10.3,3.7,15.9,"£35,737"
334,3517,135139,31,25,6,26.6,19.2,5.4,18.3,"£34,089"
334,4000,142075,70,16,31,67.6,12.7,29.0,17.5,"£39,093"
334,4001,142900,13,2,9,13.0,2.0,8.5,12.2,"£39,316"
334,4012,137007,79,20,38,69.1,14.6,24.5,14.6,"£40,201"
334,4014,136310,112,12,28,112.0,10.5,25.3,13.5,"£36,833"
334,4015,136994,94,20,33,87.1,14.6,29.3,15.8,"£38,460"
334,4017,136333,112,25,28,98.2,17.7,22.9,16.1,"£37,973"
334,4018,137231,NA,NA,NA,NA,NA,NA,NA,NA
334,4019,137008,74,11,26,72.6,7.1,24.3,15.0,"£38,460"
334,4030,136909,91,15,33,82.8,8.8,28.2,14.8,"£38,256"
334,4034,104118,75,26,35,71.6,23.3,28.4,15.2,"£39,686"
334,4650,104119,93,19,22,87.0,13.7,20.3,14.5,"£35,771"
334,4661,136347,91,32,27,90.2,31.8,24.5,13.6,"£33,961"
334,5200,104121,24,24,8,22.2,17.9,7.7,20.4,"£34,434"
334,6905,129342,46,12,32,42.8,10.7,30.4,16.5,"£39,818"
334,6906,135971,72,19,20,70.0,16.3,18.2,16.6,"£39,081"
334,6924,135684,116,21,46,111.8,19.5,40.5,12.5,"£38,491"
335,2000,104142,23,16,12,19.7,8.4,8.7,18.3,"£37,794"
335,2001,104143,14,22,4,13.6,15.6,2.9,19.7,"£38,969"
335,2002,104144,13,10,6,13.0,8.5,5.0,17.9,"£36,937"
335,2003,104145,11,18,2,10.2,14.1,2.0,19.4,"£39,031"
335,2004,104146,15,30,5,15.0,21.1,3.7,20.5,"£36,211"
335,2005,138420,11,19,4,10.0,11.9,3.0,22.1,"£47,371"
335,2006,104147,11,13,4,10.4,9.2,2.7,22.2,"£41,050"
335,2007,138591,26,21,3,24.6,16.9,3.0,16.9,"£33,723"
335,2010,138452,20,24,6,20.0,18.3,5.5,22.1,"£34,241"
335,2011,139123,11,14,2,10.5,10.7,2.0,21.7,"£35,903"
335,2012,104150,18,17,4,16.1,12.4,3.2,18.6,"£36,093"
335,2015,139435,15,30,7,15.0,24.0,6.7,27.4,"£33,873"
